ID,Category,Pet Type,Difficulty,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation,Is Active
1,Behavior & Training,Dog,Easy,What does it mean when a dog yawns repeatedly during a training session?,They are tired,It is a calming signal showing stress or discomfort,They are hungry,They want to play,B,Yawning is a classic calming signal — dogs use it to self-soothe when they feel anxious or overwhelmed. Shorter sessions and more breaks help.,Yes
2,Behavior & Training,Dog,Easy,What is the most effective way to stop a dog from jumping up on people?,Shout 'No!' and push them down,Knee them in the chest,Turn away and completely ignore them,Give them a treat to distract them,C,"Ignoring the behaviour removes the reward (attention). Once the dog has four paws on the floor, reward them. Consistency from all family members is key.",Yes
3,Behavior & Training,Dog,Medium,Which training method is most recommended by modern animal behaviourists?,Alpha dominance training,Positive reinforcement (reward-based training),Negative punishment only,Electronic collar training,B,Positive reinforcement — rewarding desired behaviours — is the most effective and humane method. It builds trust and avoids stress-related side effects.,Yes
4,Behavior & Training,Dog,Medium,At approximately what age do puppies enter their critical socialisation window?,3–14 weeks,6–12 months,1–2 years,From birth to 2 weeks,A,"The socialisation window (3–14 weeks) is when puppies are most receptive to new experiences. Positive exposure to people, sounds, and environments during this period shapes their personality for life.",Yes
5,Behavior & Training,Dog,Easy,A dog rolls onto its back and exposes its belly. What does this most commonly signal?,Aggression,Submission or relaxed contentment,It is sick,It is trying to escape,B,"A belly-up posture usually signals submission or an invitation for belly rubs. However, look at the full body language — a stiff posture with this position could indicate discomfort.",Yes
6,Behavior & Training,Cat,Easy,What does it mean when a cat slowly blinks at you?,It is sleepy,It is frightened,It is showing trust and affection,It is in pain,C,A slow blink is the cat equivalent of a relaxed smile. You can slow-blink back to build trust — it is one of the easiest ways to bond with a cat.,Yes
7,Behavior & Training,Cat,Medium,Why do cats knock objects off tables?,They are clumsy,They are testing gravity,They seek attention or are satisfying curiosity,They cannot judge distances,C,Cats are highly curious and use their paws to investigate objects. Knocking things over also reliably gets their owner's attention — which reinforces the behaviour.,Yes
8,Behavior & Training,Cat,Easy,What does it mean when a cat holds its tail straight up in the air while walking toward you?,Aggression,Fear,A friendly greeting and confidence,It wants food,C,"A high, upright tail is a classic friendly greeting gesture in cats. Kittens use it with their mothers and adult cats extend it to people they trust.",Yes
9,Behavior & Training,All Pets,Easy,Which of these is a universal sign of pain or distress across most pets?,Excessive vocalisation and hiding,Playing more than usual,Eating more than normal,Being more affectionate than usual,A,Hiding and vocalising (or unusual silence) are the most common cross-species distress signals. Any sudden change in normal behaviour warrants attention.,Yes
10,Nutrition & Diet,Dog,Easy,Which of these common human foods is toxic to dogs?,Plain cooked chicken,Blueberries,Grapes,Plain cooked rice,C,"Grapes and raisins can cause acute kidney failure in dogs, even in small amounts. The toxic compound is still unknown, making any quantity dangerous.",Yes
11,Nutrition & Diet,Dog,Medium,What makes xylitol dangerous for dogs?,It causes kidney failure,It causes severe hypoglycaemia (low blood sugar) which can be fatal,It causes skin allergies,It makes dogs hyperactive,B,"Xylitol (found in sugar-free gum, some peanut butters, and sweets) triggers a rapid insulin release in dogs, causing life-threatening low blood sugar. Always check labels.",Yes
12,Nutrition & Diet,Dog,Medium,Can dogs safely eat avocado?,"Yes, it is very healthy for them",Only the flesh — the pit is toxic,"No, it contains persin which can be toxic to dogs",Only in small weekly amounts,C,"Avocado contains persin, which can cause vomiting, diarrhoea, and in large amounts, more serious problems. The pit is also a choking hazard. It is best avoided entirely.",Yes
13,Nutrition & Diet,Dog,Easy,How often should a healthy adult dog typically be fed?,Once a day,Twice a day,Three times a day,Free-fed throughout the day,B,Two meals a day is the standard recommendation for adult dogs. Twice-daily feeding helps maintain stable blood sugar and reduces the risk of bloat compared to once-daily large meals.,Yes
14,Nutrition & Diet,Dog,Easy,Which of these is a safe and healthy treat for dogs?,Macadamia nuts,Onion rings,Plain cooked salmon,Raisins,C,"Plain cooked salmon is rich in omega-3 fatty acids and safe for dogs. Macadamia nuts, onions, and raisins are all toxic to dogs.",Yes
15,Nutrition & Diet,Dog,Hard,Which of these vegetables is safe for dogs to eat raw?,Onion,Garlic,Raw potato,Carrot,D,"Carrots are a great low-calorie snack for dogs — good for teeth too. Onion and garlic are toxic. Raw potato contains solanine, which is harmful to dogs.",Yes
